portal_item_attribute,create_user,character varing(100),,YES,,新增人員,,,,,,
portal_item_attribute,create_date,timestamp without time zone,,YES,,建立時間,,,,,,
portal_item_attribute,create_ip,character varing(50),,YES,,新增IP,,,,,,
選單資料表 portal_menu(網站選單管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_menu,menu_id,integer,,NO,p,流水號 (max+1),,,V,,,
portal_menu,website_id,character varing(20),,NO,U1,網站代碼,,V,V,V,,
portal_menu,website_category_id,integer,,NO,U2,網站位置,,V,V,V,,
portal_menu,menu_name,character varing(50),,NO,,選單名稱,,V,V,V,,
portal_menu,start_date,timestamp without time zone,,NO,,啟用時間,,V,V,V,,
portal_menu,end_date,timestamp without time zone,,NO,,結束時間,,V,V,V,,
portal_menu,menu_url,character varing(200),,NO,,連結URL,,,V,V,,
portal_menu,open_window,character varing(1),N,NO,,是否另開視窗,,,,V,,
portal_menu,up_menu_id,integer,,NO,,上一層選單流水號,,,,V,,
portal_menu,menu_lv,integer,,NO,,第幾層,,,,V,,
portal_menu,menu_seq,integer,,NO,,排序,,,,V,,
portal_menu,note,character varing(200),,YES,,備註,,,,V,,
portal_menu,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_menu,create_user,character varing(100),,YES,,新增人員,,,,,,
portal_menu,create_date,timestamp without time zone,,YES,,建立時間,,,,,,
portal_menu,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_menu,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_menu,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_menu,update_ip,character varing(50),,YES,,異動IP,,,,,,
網站資料表 portal_website(網站基本資料),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_website,website_id,character varing(20),,NO,P,"自訂網站代碼 ( ex:TWM，APP，…. )
用途: Domain/自訂網站代碼/page_id",,,V,,,
portal_website,website_name,character varing(50),,NO,I,網站名稱,,V,V,V,,
portal_website,website_index_flag,character varing(1),,NO,,主要website_id :  Y/N,,V,V,V,,
portal_website,website_index_page_code,character varing(50),,YES,,首頁代號,,V,V,V,,
portal_website,website_url_redirect,character varing(200),,YES,,強制網址重新導向 (有值強轉),,,V,V,,
portal_website,website_service_url,character varing(200),,NO,,服務的主要網域 (必填),,,V,V,,
portal_website,note,character varing(200),,YES,,備註,,,,V,,
portal_website,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_website,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_website,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_website,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_website,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_website,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_website,update_ip,character varing(50),,YES,,異動IP,,,,,,
網頁資料表 portal_website_page (網站頁面管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_website_page,website_page_id,integer,,NO,p,流水號 (max+1),,,V,,,
portal_website_page,website_id,character varing(20),,NO,U1,"網站代碼 (下拉選單 )
用途: Domain/自訂網站代碼/page_id",,,V,,,
portal_website_page,website_page_code,character varing(50),,NO,U1,自訂網頁代碼,,V,V,,,
portal_website_page,website_page_version,integer,1,NO,U1,網頁版本(max+1),,,V,,,
portal_website_page,status,character varing(2),0,NO,I,"0:新建
1:退回重編
3:送審
4:審核通過 ( job by 分鐘 去比對啟用時間 )
5:上架
7:有新板後原本狀態5的要變成7
9:比對結束時間後自動失效 ",,V,V,,,
portal_website_page,page_note,character varing(50),,YES,,網頁說明,,,V,V,,
portal_website_page,start_date,timestamp without time zone,,NO,,啟用時間,,V,V,V,,
portal_website_page,end_date,timestamp without time zone,,NO,,結束時間  ( job by 分鐘 去比對結束時間 把狀態變成 9),,V,V,V,,
portal_website_page,template_id,character varing(20),,NO,,template_id,,V,V,V,,
portal_website_page,item_id_header,character varing(20),,YES,,天 ( from portal_item where item_type = 'h' ),,,,V,,
portal_website_page,item_id_footer,character varing(20),,YES,,地 ( from portal_item where item_type = 'f'  ),,,,V,,
portal_website_page,page_dept_id,integer,,NO,,"所屬負責單位 (下拉選單:只有amdin全秀 其他的只秀有登記的單位 )
新建時候需要確認該員有隸屬其中一個負責單位",,,V,V,,
portal_website_page,page_empy_id,character varing(20),,NO,,連動式選單 (關聯負責單位的人員),,,V,V,,
portal_website_page,page_title,character varing(200),,YES,,,,,V,V,,
portal_website_page,page_meta_title,character varing(200),,YES,,,,,,V,,
portal_website_page,page_meta_keywords,character varing(200),,YES,,,,,,V,,
portal_website_page,page_meta_description,character varing(200),,YES,,,,,,V,,
portal_website_page,page_meta_og_title,character varing(200),,YES,,,,,,V,,
portal_website_page,page_meta_og_description,character varing(200),,YES,,,,,,V,,
portal_website_page,page_meta_og_image,text,,YES,,,,,,V,,
portal_website_page,page_url_redirect,character varing(200),,YES,,強制網址重新導向,,,,V,,
portal_website_page,page_url_redirect_fail,character varing(200),,YES,,失效頁面網址重新導向URL,,,,V,,
portal_website_page,note,character varing(200),,YES,,備註,,,,V,,
portal_website_page,is_delete,character varing(1),N,YES,,刪除flag,,,V,,,
portal_website_page,create_user,character varing(100),,YES,,新增人員,,,,,,
portal_website_page,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_website_page,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_website_page,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_website_page,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_website_page,update_ip,character varing(50),,YES,,異動IP,,,,,,
網頁元件資料表 portal_website_page_item,,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_website_page_item,website_page_item_id,integer,,NO,p,流水號 (max+1),,,V,,,
portal_website_page_item,website_page_id,integer,,NO,F,website_page_id,,,,,,
portal_website_page_item,website_id,character varing(20),,NO,U1,"網站代碼 (下拉選單 )
用途: Domain/自訂網站代碼/page_id",,,,,,
portal_website_page_item,website_page_code,character varing(50),,NO,U1,自訂網頁代碼,,,,,,
portal_website_page_item,website_page_version,integer,,NO,U1,網頁版本(max+1),,,V,,,
portal_website_page_item,item_id,character varing(20),,NO,U1,元件代號,,,,,,
portal_website_page_item,item_seq,integer,,NO,U1,順序,,,,,,
portal_website_page_item,start_date,timestamp without time zone,,NO,,啟用時間,,,,V,,
portal_website_page_item,end_date,timestamp without time zone,,NO,,結束時間 ,,,,V,,
portal_website_page_item,note,character varing(200),,YES,,備註,,,,V,,
portal_website_page_item,create_user,character varing(100),,YES,,異動人員,,,,,,
portal_website_page_item,create_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_website_page_item,create_ip,character varing(50),,YES,,異動IP,,,,,,
網頁元件內容資料表 portal_website_page_item_data,,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_website_page_item_data,website_page_item_data_id,integer,,NO,p,流水號 (max+1),,,,,,
portal_website_page_item_data,website_page_item_id,integer,,NO,F,portal_website_page_item.website_page_item_id,,,V,,,
portal_website_page_item_data,website_id,character varing(20),,NO,I,"網站代碼 (下拉選單 )
用途: Domain/自訂網站代碼/page_id",,,,,,
portal_website_page_item_data,website_page_code,character varing(50),,NO,I,自訂網頁代碼,,,,,,
portal_website_page_item_data,website_page_version,integer,,NO,,網頁版本,,,,,,
portal_website_page_item_data,item_id,character varing(20),,NO,,元件代號,,,,,,
portal_website_page_item_data,item_seq,integer,,NO,,順序,,,,,,
portal_website_page_item_data,item_attribute_type,character varing(1),,NO,,"屬性類型
T : 文字
U  : 超連結
D : 日期
H : HTML
I : 圖檔
F : 貼標
V : 影片",,,,,,
portal_website_page_item_data,item_attribute_seq,integer,,NO,,"seq  新增時畫面預設自動帶 (select max (item_attribute_seq) from portal_website_page_item_data where  (website_id,website_page_id,item_id,item_seq,item_attribute_type) ) +1 ",,,,,,
portal_website_page_item_data,page_item_data,text,,YES,,元件屬性資料 /dfdsf/adsfdsfds/5/AAA.jpg /dfdsf/adsfdsfds/6/AAA.jpg,,,,,,
portal_website_page_item_data,page_item_data_seq,integer,,YES,,網頁元件資料排序 (同一個item_attribute_type+item_attribute_seq > item_data_seq 一樣),,,,,,
portal_website_page_item_data,create_user,character varing(100),,YES,,新增人員,,,,,,
portal_website_page_item_data,create_date,timestamp without time zone,,YES,,建立時間,,,,,,
portal_website_page_item_data,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_website_page_item_data,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_website_page_item_data,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
